kingdom,phylum,ERR977407,ERR977409,ERR977410,ERR977423,ERR977424,ERR977425,ERR977403,ERR977404,ERR977405,ERR977406,ERR977413,ERR977416,ERR977418,ERR977420
Archaea,Crenarchaeota,0,0,0,0,0,0,0,0,0,0,0,0,267,45
Archaea,Euryarchaeota,1,3,5,10,3,63,0,0,0,0,6,8,0,6
Archaea,Parvarchaeota,0,0,0,2,4,28,0,0,0,0,1,0,0,8
Bacteria,Acidobacteria,24,81,26,313,318,391,1,0,0,0,66,165,454,189
Bacteria,Actinobacteria,126,555,176,1113,2557,3723,23,41,48,0,82,795,176,656
Bacteria,Armatimonadetes,1,3,2,5,22,16,0,0,0,0,8,10,37,21
Bacteria,Bacteroidetes,43,163,116,547,649,1830,0,0,0,0,589,247,205,5103
Bacteria,Caldiserica,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Bacteria,Caldithrix,0,0,0,0,1,0,0,0,0,0,1,1,0,0
Bacteria,Chlamydiae,0,0,2,9,52,140,0,0,0,0,9,16,54,11
Bacteria,Chlorobi,11,42,23,160,166,205,0,0,0,0,24,27,38,82
Bacteria,Chloroflexi,85,324,169,1252,3265,2777,0,0,0,0,505,1324,214,190
Bacteria,Cyanobacteria,0,4,6,12,40,179,0,0,0,0,15,4,7,62
Bacteria,Deferribacteres,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Bacteria,Elusimicrobia,0,0,0,3,8,28,0,0,0,0,0,0,89,15
Bacteria,Fibrobacteres,1,0,0,2,0,0,0,0,0,0,0,1,0,2
Bacteria,Firmicutes,32,114,105,426,709,1667,2,3,5,3,63,194,7,15
Bacteria,Fusobacteria,0,2,0,3,10,20,0,0,0,0,0,0,0,0
Bacteria,Gemmatimonadetes,6,21,10,86,67,160,0,0,0,0,15,13,126,55
Bacteria,Lentisphaerae,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Bacteria,Nitrospirae,9,57,21,176,249,217,2845,2266,3928,1690,17,174,3572,1340
Bacteria,Planctomycetes,26,71,24,192,339,343,99,111,166,71,109,233,323,150
Bacteria,Proteobacteria,181,604,273,2042,2676,14077,1211,1431,2867,1929,1342,1965,4407,28637
Bacteria,Spirochaetes,1,0,3,3,18,82,0,0,0,0,12,10,14,11
Bacteria,Synergistetes,0,1,0,0,3,4,0,0,0,0,2,3,0,0
Bacteria,Tenericutes,0,0,0,2,2,15,0,0,0,0,0,1,1,12
Bacteria,Thermi,0,0,0,0,0,1,0,0,0,0,1,0,0,2
Bacteria,Thermotogae,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bacteria,Verrucomicrobia,8,11,9,85,131,365,0,0,0,0,35,33,228,138
