OTU,phylum,kingdom
OTU1,Crenarchaeota,Archaea
OTU2,Euryarchaeota,Archaea
OTU3,Thaumarchaeota,Archaea
OTU4,Acidobacteria,Bacteria
OTU5,Actinobacteria,Bacteria
OTU6,Armatimonadetes,Bacteria
OTU7,Bacteroidetes,Bacteria
OTU8,Caldiserica,Bacteria
OTU9,Calditrichaeota,Bacteria
OTU10,Chlamydiae,Bacteria
OTU11,Chlorobi,Bacteria
OTU12,Chloroflexi,Bacteria
OTU13,Cyanobacteria,Bacteria
OTU14,Elusimicrobia,Bacteria
OTU15,Fibrobacteres,Bacteria
OTU16,Firmicutes,Bacteria
OTU17,Fusobacteria,Bacteria
OTU18,Gemmatimonadetes,Bacteria
OTU19,Ignavibacteriae,Bacteria
OTU20,Kiritimatiellaeota,Bacteria
OTU21,Nitrospinae,Bacteria
OTU22,Nitrospirae,Bacteria
OTU23,Planctomycetes,Bacteria
OTU24,Proteobacteria,Bacteria
OTU25,Spirochaetes,Bacteria
OTU26,Synergistetes,Bacteria
OTU27,Tenericutes,Bacteria
OTU28,Thermotogae,Bacteria
OTU29,Verrucomicrobia,Bacteria
OTU30,Annelida,Eukaryota
OTU31,Apicomplexa,Eukaryota
OTU32,Arthropoda,Eukaryota
OTU33,Ascomycota,Eukaryota
OTU34,Bacillariophyta,Eukaryota
OTU35,Basidiomycota,Eukaryota
OTU36,Blastocladiomycota,Eukaryota
OTU37,Chlorophyta,Eukaryota
OTU38,Chordata,Eukaryota
OTU39,Chytridiomycota,Eukaryota
OTU40,Cnidaria,Eukaryota
OTU41,Colponemidia,Eukaryota
OTU42,Cryptomycota,Eukaryota
OTU43,Euglenida,Eukaryota
OTU44,Mollusca,Eukaryota
OTU45,Mucoromycota,Eukaryota
OTU46,Nematoda,Eukaryota
OTU47,Phaeophyceae,Eukaryota
OTU48,Platyhelminthes,Eukaryota
OTU49,Porifera,Eukaryota
OTU50,Rotifera,Eukaryota
OTU51,Streptophyta,Eukaryota
OTU52,Tardigrada,Eukaryota
OTU53,Xenacoelomorpha,Eukaryota
OTU54,Nanoarchaeota,Archaea
OTU55,Aquificae,Bacteria
OTU56,Balneolaeota,Bacteria
OTU57,Chrysiogenetes,Bacteria
OTU58,Deferribacteres,Bacteria
OTU59,Lentisphaerae,Bacteria
OTU60,Rhodothermaeota,Bacteria
OTU61,Thermodesulfobacteria,Bacteria
OTU62,Brachiopoda,Eukaryota
OTU63,Bryozoa,Eukaryota
OTU64,Chromerida,Eukaryota
OTU65,Echinodermata,Eukaryota
OTU66,Entoprocta,Eukaryota
OTU67,Entorrhizomycota,Eukaryota
OTU68,Eustigmatophyceae,Eukaryota
OTU69,Gastrotricha,Eukaryota
OTU70,Gnathostomulida,Eukaryota
OTU71,Haplosporidia,Eukaryota
OTU72,Hemichordata,Eukaryota
OTU73,Microsporidia,Eukaryota
OTU74,Picozoa,Eukaryota
OTU75,Pinguiophyceae,Eukaryota
OTU76,Placozoa,Eukaryota
OTU77,Priapulida,Eukaryota
OTU78,Xanthophyceae,Eukaryota
OTU79,Zoopagomycota,Eukaryota
OTU80,Parvarchaeota,Archaea
OTU81,Caldithrix,Bacteria
OTU82,Dictyoglomi,Bacteria
OTU83,Thermi,Bacteria
OTU84,Poribacteria,Bacteria
